"pid","hid","age","sex","n.samples","wave","reporting.day","typical.day","n.contact.total","n.locations","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+","n.contact.touch","n.contact.0-4.touch","n.contact.5-19.touch","n.contact.20-39.touch","n.contact.40-64.touch","n.contact.65+.touch","n.contact.home","n.contact.school","n.contact.work","n.contact.other"
825,580,67,"F",4,"R4","Saturday","yes",9,3,"2",0,1,2,4,2,5,0,1,2,2,0,2,0,0,7
1004,708,33,"M",3,"R4","Saturday","no",37,3,"2",1,0,36,30,0,2,1,0,1,0,0,36,0,0,1
1018,720,76,"F",3,"R4","Saturday","yes",4,3,"2",0,1,0,3,0,0,0,0,0,0,0,3,0,0,1
1241,814,56,"F",3,"R4","Saturday","yes",3,1,"0",0,0,1,1,1,1,0,0,1,0,0,3,0,0,0
702,479,52,"F",4,"R4","Saturday","yes",22,4,"3",0,0,2,20,0,11,0,0,1,10,0,1,0,0,21
715,490,54,"M",4,"R4","Saturday","no",12,3,"2",0,1,2,7,2,1,0,0,0,1,0,1,0,0,12
1446,594,50,"F",1,"R4","Saturday","yes",2,1,"0",0,1,0,1,0,1,0,1,0,0,0,2,0,0,0
841,594,54,"M",4,"R4","Saturday","yes",6,3,"2",0,0,0,4,2,6,0,0,0,4,2,6,0,0,5
729,503,75,"F",3,"R4","Saturday","yes",30,3,"2",0,0,7,15,8,0,0,0,0,0,0,1,0,0,29
846,599,24,"M",4,"R4","Saturday","no",9,6,"5",0,1,4,4,0,4,0,1,1,2,0,2,0,0,8
848,601,47,"F",4,"R4","Saturday","yes",3,1,"0",0,3,0,0,0,3,0,3,0,0,0,3,0,0,0
751,522,66,"F",3,"R4","Saturday","no",8,2,"1",0,0,7,0,1,2,0,0,1,0,1,1,0,0,8
1314,522,69,"M",3,"R4","Saturday","yes",4,2,"1",0,0,1,2,1,0,0,0,0,0,0,1,0,0,3
757,526,46,"M",3,"R4","Saturday","no",3,3,"2",0,0,1,2,0,2,0,0,1,1,0,1,0,0,2
758,527,19,"M",4,"R4","Saturday","yes",9,4,"3",0,5,5,3,1,8,0,4,1,2,1,3,0,0,8
1051,747,66,"F",4,"R4","Saturday","no",13,2,"1",0,0,3,10,10,0,0,0,0,0,0,3,0,0,10
1052,748,59,"F",4,"R4","Saturday","yes",2,1,"0",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1065,758,54,"F",4,"R4","Saturday","yes",14,3,"2",0,0,9,14,0,10,0,0,8,2,0,1,0,9,4
1049,746,61,"F",4,"R4","Saturday","no",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,854,34,"M",2,"R4","Wednesday","yes",39,3,"2",0,0,37,37,2,1,0,0,0,0,1,2,7,30,0
2,2,50,"F",3,"R4","Wednesday","yes",23,1,"0",0,22,1,0,0,0,0,0,0,0,0,0,0,23,0
8,8,26,"M",3,"R4","Wednesday","no",22,7,"6+",0,0,12,15,0,6,0,0,3,3,0,7,0,10,5
17,17,62,"M",3,"R4","Wednesday","yes",7,4,"3",0,0,3,4,0,3,0,0,0,3,0,2,0,0,6
23,23,50,"F",3,"R4","Wednesday","yes",14,2,"1",0,0,14,0,0,2,0,0,2,0,0,0,0,12,2
26,26,23,"F",3,"R4","Wednesday","yes",13,7,"6+",0,1,12,0,0,7,0,1,6,0,0,1,4,0,9
28,28,31,"F",3,"R4","Wednesday","yes",9,5,"4",0,0,4,4,1,1,0,0,1,0,0,4,0,5,1
32,32,65,"F",4,"R4","Wednesday","yes",19,6,"5",0,0,4,18,14,2,0,0,0,1,1,0,0,0,19
38,38,29,"F",3,"R4","Wednesday","yes",5,4,"3",1,1,3,0,0,2,1,1,0,0,0,2,2,3,0
49,49,58,"F",4,"R4","Wednesday","yes",24,2,"1",0,0,11,23,22,0,0,0,0,0,0,2,0,22,0
51,51,56,"F",4,"R4","Wednesday","yes",3,2,"1",0,0,1,2,0,2,0,0,1,1,0,2,0,0,1
52,52,48,"F",3,"R4","Wednesday",NA,9,3,"2",0,2,5,7,0,3,0,2,0,1,0,3,0,5,1
53,53,44,"M",4,"R4","Wednesday","yes",2,1,"0",0,1,1,0,0,2,0,1,1,0,0,2,0,0,0
56,56,75,"F",4,"R4","Wednesday","yes",4,2,"1",0,0,0,3,1,1,0,0,0,0,1,0,0,0,4
769,57,59,"F",3,"R4","Wednesday","no",17,5,"4",0,0,2,14,1,9,0,0,0,9,0,3,0,0,14
58,58,25,"M",4,"R4","Wednesday","yes",10,3,"2",0,0,8,8,0,0,0,0,0,0,0,2,0,6,2
63,63,62,"M",4,"R4","Wednesday","yes",6,3,"2",0,0,1,5,0,2,0,0,1,1,0,2,0,0,4
1304,63,56,"F",3,"R4","Wednesday","no",7,3,"2",0,0,1,6,0,1,0,0,0,1,0,2,0,0,5
64,64,24,"F",2,"R4","Wednesday","yes",9,3,"2",0,0,4,5,0,0,0,0,0,0,0,3,0,5,1
1302,64,50,"F",2,"R4","Wednesday","no",10,4,"3",0,0,2,8,0,3,0,0,2,1,0,3,0,0,7
1447,64,22,"M",1,"R4","Wednesday","yes",9,3,"2",0,0,7,2,0,9,0,0,7,2,0,2,6,0,1
