"pid","hid","age","sex","n.samples","wave","reporting.day","typical.day","n.contact.total","n.locations","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+","n.contact.touch","n.contact.0-4.touch","n.contact.5-19.touch","n.contact.20-39.touch","n.contact.40-64.touch","n.contact.65+.touch","n.contact.home","n.contact.school","n.contact.work","n.contact.other"
1012,715,47,"M",3,"R1","Friday","yes",2,1,"0",0,0,2,0,0,2,0,0,2,0,0,2,0,0,0
1013,716,35,"F",3,"R1","Friday","yes",2,2,"1",0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
1014,716,42,"M",1,"R1","Friday","yes",16,2,"1",0,0,16,0,0,1,0,0,1,0,0,1,0,15,0
1015,717,63,"M",4,"R1","Friday","yes",4,2,"1",0,0,1,3,0,4,0,0,1,3,0,2,0,2,0
1016,718,57,"F",4,"R1","Friday","no",10,4,"3",3,0,5,6,0,3,3,0,0,0,0,1,0,0,9
1017,719,57,"M",3,"R1","Friday","yes",7,2,"1",0,2,7,5,0,2,0,1,1,0,0,2,0,5,0
1018,720,75,"F",3,"R1","Friday","yes",4,1,"0",0,0,0,2,2,1,0,0,0,1,0,0,0,0,4
1019,721,40,"F",4,"R1","Friday","yes",11,3,"2",0,6,2,3,0,8,0,6,2,0,0,1,0,8,2
1020,722,47,"M",3,"R1","Friday","yes",21,5,"4",0,1,15,14,1,11,0,1,3,6,1,5,0,10,6
1021,723,69,"M",4,"R1","Saturday","yes",17,3,"2",0,0,1,16,0,17,0,0,1,16,0,2,0,0,16
1022,724,33,"F",2,"R1","Saturday","yes",19,10,"6+",0,0,12,6,1,9,0,0,5,3,1,3,0,0,19
1023,725,49,"F",4,"R1","Saturday","no",21,8,"6+",0,0,2,18,1,6,0,0,0,5,1,1,0,0,20
1024,726,44,"M",4,"R1","Saturday","no",14,4,"3",0,2,7,3,2,4,0,1,2,1,0,13,0,1,0
1025,727,56,"F",4,"R1","Saturday","no",2,3,"2",0,0,1,1,0,0,0,0,0,0,0,2,0,0,1
1026,728,70,"M",2,"R1","Saturday","no",13,2,"1",0,0,0,9,4,12,0,0,0,8,4,0,0,0,13
1027,729,62,"M",4,"R1","Saturday","no",6,3,"2",0,0,0,6,0,6,0,0,0,6,0,1,0,0,5
1028,730,9,"M",4,"R1","Saturday","yes",1,1,"0",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1029,730,31,"F",4,"R1","Saturday","yes",1,1,"0",0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1030,731,44,"F",4,"R1","Saturday","no",6,3,"2",0,0,1,5,0,1,0,0,0,1,0,1,0,0,6
1031,731,46,"M",1,"R1","Saturday","no",5,3,"2",0,0,1,4,0,4,0,0,0,4,0,1,0,0,5
1032,732,29,"M",1,"R1","Saturday","yes",4,2,"1",0,0,3,1,0,1,0,0,1,0,0,1,0,0,3
1033,733,12,"M",3,"R1","Saturday","yes",28,4,"3",0,26,22,0,0,10,0,7,3,0,0,1,0,0,27
1034,733,35,"F",3,"R1","Saturday","yes",1,1,"0",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1035,734,61,"F",3,"R1","Saturday","no",10,3,"2",0,0,3,7,0,3,0,0,0,3,0,2,0,0,8
1036,735,75,"M",1,"R1","Saturday","yes",1,1,"0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1037,736,51,"M",1,"R1","Sunday","yes",1,1,"0",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1038,737,NA,"F",4,"R1","Sunday","yes",8,2,"1",0,0,2,5,1,1,0,0,0,0,1,1,0,0,7
1039,738,62,"F",1,"R1","Sunday","no",17,4,"3",2,0,8,14,9,17,1,0,3,8,5,10,0,0,7
1040,739,76,"M",2,"R1","Sunday","yes",2,3,"2",0,1,0,0,1,2,0,1,0,0,1,2,0,0,1
1041,740,51,"M",1,"R1","Sunday","yes",4,2,"1",0,0,0,4,0,0,0,0,0,0,0,1,0,0,3
1042,740,55,"F",2,"R1","Sunday","yes",7,2,"1",0,0,0,7,0,0,0,0,0,0,0,1,0,0,6
1043,741,12,"M",2,"R1","Sunday","yes",2,2,"1",0,0,2,0,0,2,0,0,2,0,0,1,0,0,1
1044,741,38,"F",3,"R1","Sunday","yes",1,1,"0",0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1045,742,49,"F",3,"R1","Sunday","no",3,1,"0",0,2,0,3,0,3,0,1,0,2,0,3,0,0,2
1046,743,45,"F",1,"R1","Sunday","yes",36,4,"3",0,21,31,22,2,31,0,2,20,9,0,3,0,0,35
1047,744,52,"F",3,"R1","Sunday","no",7,3,"2",0,0,0,7,0,7,0,0,0,7,0,3,0,0,5
1048,745,57,"F",4,"R1","Sunday","no",3,2,"1",0,0,1,2,0,0,0,0,0,0,0,1,0,0,3
1049,746,60,"F",4,"R1","Sunday","yes",4,2,"1",0,0,0,4,0,4,0,0,0,4,0,0,0,0,4
1050,747,32,"M",2,"R1","Monday","yes",7,4,"3",0,0,2,5,0,1,0,0,1,0,0,2,0,3,2
1051,747,65,"F",4,"R1","Monday","yes",5,2,"1",0,0,2,3,0,0,0,0,0,0,0,2,0,0,3
1052,748,58,"F",4,"R1","Monday","yes",15,3,"2",0,0,11,14,0,0,0,0,0,0,0,1,10,0,4
1053,749,44,"F",1,"R1","Monday","yes",117,3,"2",0,94,27,8,0,94,0,92,1,1,0,4,0,113,90
1054,749,61,"M",2,"R1","Monday","yes",5,2,"1",0,4,4,5,0,4,0,3,1,1,0,4,0,0,5
1055,750,17,"M",4,"R1","Monday","yes",36,4,"3",0,26,3,7,0,6,0,5,0,1,0,2,29,0,5
1056,750,47,"F",4,"R1","Monday","yes",16,5,"4",0,1,5,10,0,4,0,1,0,3,0,2,0,0,14
1057,751,56,"M",2,"R1","Monday","no",10,6,"5",0,0,2,8,0,2,0,0,0,2,0,1,0,0,9
1058,752,47,"M",2,"R1","Monday","yes",6,3,"2",0,1,0,5,0,2,0,1,0,1,0,2,0,0,4
1059,753,58,"F",1,"R1","Monday","yes",12,5,"4",3,0,4,7,0,5,1,0,1,3,0,3,0,0,10
1060,754,72,"F",4,"R1","Monday","yes",2,2,"1",0,0,0,1,1,2,0,0,0,1,1,0,0,0,2
1061,755,48,"F",4,"R1","Monday","yes",59,3,"2",0,0,46,58,45,3,0,0,1,2,0,2,0,5,52
1062,756,47,"F",3,"R1","Monday","no",7,4,"3",0,0,4,2,1,7,0,0,4,2,1,1,0,0,6
1063,757,52,"F",4,"R1","Monday","yes",2,3,"2",0,0,0,2,0,1,0,0,0,1,0,1,0,0,2
1064,757,64,"M",3,"R1","Monday","yes",3,3,"2",0,0,1,2,0,0,0,0,0,0,0,1,0,0,3
1065,758,53,"F",4,"R1","Monday","yes",44,5,"4",26,0,15,18,0,27,28,0,0,1,0,1,0,41,17
1066,759,59,"F",4,"R1","Monday","no",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,90,53,"F",4,"R2","Tuesday","no",8,2,"1",0,0,4,4,0,0,0,0,0,0,0,0,0,0,8
230,160,47,"F",4,"R2","Tuesday","yes",6,3,"2",0,1,1,3,1,3,0,1,0,1,1,5,0,0,1
315,208,28,"M",4,"R2","Tuesday","yes",12,4,"3",0,0,5,7,0,1,0,0,1,0,0,2,0,6,5
348,226,63,"F",3,"R2","Tuesday","yes",251,2,"1",0,250,250,250,251,1,0,0,0,0,1,1,0,250,0
369,241,41,"F",4,"R2","Tuesday","no",3,3,"2",0,0,0,2,1,2,0,0,0,1,1,1,0,0,2
401,263,64,"F",4,"R2","Tuesday","yes",9,2,"1",0,0,0,8,9,0,0,0,0,0,0,1,0,0,8
524,345,56,"M",4,"R2","Tuesday","no",2,1,"0",0,1,0,1,0,2,0,1,0,1,0,2,0,0,0
525,345,58,"F",4,"R2","Tuesday","yes",12,2,"1",0,1,0,11,0,5,0,1,0,4,0,2,10,0,0
568,376,58,"F",3,"R2","Tuesday","yes",9,3,"2",0,0,0,9,0,0,0,0,0,0,0,2,0,0,7
578,384,64,"M",4,"R2","Tuesday","yes",5,2,"1",0,1,1,3,0,3,0,1,1,1,0,3,0,2,0
198,142,64,"M",2,"R2","Thursday","yes",3,1,"0",0,2,0,1,0,2,0,2,0,0,0,3,0,0,0
203,145,27,"F",3,"R2","Thursday","yes",11,3,"2",0,0,9,2,0,0,0,0,0,0,0,3,0,1,8
319,211,54,"F",4,"R2","Thursday","yes",4,2,"1",0,1,0,3,0,3,0,0,0,3,0,2,0,0,2
320,211,54,"M",4,"R2","Thursday","yes",6,3,"2",0,1,0,5,0,2,0,1,0,1,0,2,0,4,0
671,458,74,"F",2,"R2","Thursday","yes",2,2,"1",0,0,0,1,1,2,0,0,0,1,1,2,0,0,1
99,93,50,"F",4,"R2","Friday","no",4,2,"1",0,2,0,2,0,3,0,2,0,1,0,3,0,0,1
484,319,71,"M",4,"R2","Friday","yes",6,3,"2",0,0,1,4,1,0,0,0,0,0,0,1,0,2,3
736,510,59,"M",4,"R2","Friday","yes",6,2,"1",0,1,1,4,0,1,0,0,0,1,0,3,0,3,0
739,513,11,"F",3,"R2","Friday","no",108,2,"1",1,81,23,2,1,47,1,41,3,1,1,3,104,0,1
740,513,36,"F",3,"R2","Friday","yes",7,2,"1",1,1,2,2,1,3,1,1,0,1,0,3,0,0,4
1067,197,31,"M",3,"R2","Saturday","yes",3,2,"1",0,0,1,2,0,0,0,0,0,0,0,2,0,0,1
295,197,57,"F",4,"R2","Saturday","yes",6,3,"2",0,0,2,4,0,0,0,0,0,0,0,3,0,0,3
409,268,14,"M",3,"R2","Saturday","yes",4,2,"1",0,0,0,4,0,0,0,0,0,0,0,2,2,0,0
411,268,48,"F",3,"R2","Saturday","yes",6,3,"2",0,2,1,3,0,3,0,2,0,1,0,3,0,0,3
450,294,53,"M",3,"R2","Saturday","no",11,3,"2",0,0,1,10,7,10,0,0,0,7,3,0,0,0,11
488,321,75,"F",4,"R2","Saturday","yes",2,4,"3",0,0,1,0,1,1,0,0,0,0,1,2,0,0,2
640,437,71,"F",2,"R2","Saturday","no",23,3,"2",0,0,0,2,21,21,0,0,0,0,21,1,0,0,22
661,451,21,"F",3,"R2","Saturday","no",24,3,"2",0,10,22,12,0,3,0,0,3,0,0,1,13,0,10
689,469,65,"F",4,"R2","Saturday","no",5,2,"1",0,2,2,1,0,4,0,2,2,0,0,4,0,0,1
695,475,47,"F",4,"R2","Saturday","yes",3,1,"0",0,2,0,1,0,3,0,2,0,1,0,3,0,0,0
192,139,59,"M",4,"R2","Sunday","yes",11,5,"4",0,2,3,4,2,6,0,2,2,2,0,2,0,0,9
429,281,45,"M",2,"R2","Sunday","yes",12,3,"2",0,4,7,8,7,4,0,2,1,1,0,3,0,0,9
478,315,34,"F",2,"R2","Sunday","yes",3,1,"0",0,0,2,1,0,2,0,0,1,1,0,3,0,0,0
479,315,35,"F",3,"R2","Sunday","no",25,7,"6+",6,6,22,3,0,2,0,0,2,0,0,3,16,0,7
820,575,53,"F",4,"R2","Sunday","yes",15,10,"6+",0,0,10,4,1,3,0,0,1,1,1,3,0,0,12
636,433,66,"F",4,"R2","Sunday","yes",4,2,"1",0,0,0,3,1,0,0,0,0,0,0,1,0,0,3
1068,433,72,"M",3,"R2","Sunday","yes",1,1,"0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1069,465,13,"F",2,"R2","Sunday","yes",9,3,"2",0,4,2,3,0,5,0,2,1,2,0,2,4,0,3
683,465,35,"F",4,"R2","Sunday","no",14,8,"6+",0,2,5,10,0,4,0,1,1,2,0,3,0,0,11
684,465,41,"M",3,"R2","Sunday","no",14,7,"6+",0,2,10,2,0,4,0,1,1,2,0,4,0,0,10
719,494,56,"F",3,"R2","Sunday","no",9,4,"3",0,0,2,7,0,2,0,0,2,0,0,3,0,0,6
851,604,22,"F",3,"R2","Sunday","yes",16,2,"1",0,10,5,5,0,11,0,10,1,0,0,2,0,14,0
753,524,15,"F",3,"R2","Sunday","no",8,3,"2",0,7,0,1,0,4,0,3,0,1,0,8,0,0,7
754,524,47,"F",2,"R2","Sunday","yes",4,3,"2",0,1,0,3,0,1,0,1,0,0,0,4,0,0,1
82,82,51,"F",4,"R2","Monday","no",10,5,"4",0,1,3,4,2,5,0,1,0,2,2,5,0,0,5
110,98,71,"M",4,"R2","Monday","yes",3,1,"0",0,0,1,1,1,1,0,0,0,0,1,3,0,0,0
111,98,73,"F",4,"R2","Monday","yes",7,2,"1",0,0,1,1,5,0,0,0,0,0,0,3,0,0,4
1070,103,20,"M",2,"R2","Monday","yes",10,3,"2",0,1,7,2,0,4,0,1,2,1,0,4,6,0,0
159,119,57,"F",4,"R2","Monday","no",4,2,"1",0,0,0,3,1,0,0,0,0,0,0,0,0,0,4
214,150,36,"F",4,"R2","Monday","no",18,4,"3",1,0,13,15,11,18,1,0,4,11,2,2,0,0,16
215,150,44,"M",3,"R2","Monday","no",6,3,"2",1,0,4,1,0,4,1,0,3,0,0,2,0,0,4
271,186,38,"F",2,"R2","Monday","yes",8,3,"2",0,1,1,5,1,4,0,1,1,2,0,4,0,0,4
1071,186,59,"F",1,"R2","Monday","yes",7,2,"1",0,0,4,3,0,3,0,0,0,3,0,1,0,6,0
298,199,64,"F",2,"R2","Monday","yes",1,1,"0",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
307,204,43,"F",4,"R2","Monday","yes",7,5,"4",0,0,4,3,0,0,0,0,0,0,0,4,0,0,3
308,204,48,"M",4,"R2","Monday","yes",7,3,"2",0,0,6,6,0,0,0,0,0,0,0,1,0,5,1
806,562,62,"M",4,"R2","Monday","yes",15,3,"2",0,0,0,1,14,1,0,0,0,1,0,1,0,0,14
360,235,52,"F",2,"R2","Monday","yes",16,2,"1",2,0,4,10,0,4,2,0,1,1,0,16,0,0,0
361,235,58,"M",2,"R2","Monday","yes",8,3,"2",2,0,3,3,0,2,2,0,0,0,0,8,0,0,0
421,276,35,"F",3,"R2","Monday","yes",4,2,"1",0,0,2,0,2,0,0,0,0,0,0,2,0,2,0
466,306,48,"F",4,"R2","Monday","no",3,1,"0",0,1,1,1,0,3,0,1,1,1,0,3,0,0,0
565,374,44,"F",3,"R2","Monday","yes",10,3,"2",0,0,4,4,2,1,0,0,0,0,1,2,0,4,4
646,442,46,"F",4,"R2","Monday","yes",21,3,"2",0,0,16,21,0,1,0,0,0,1,0,1,0,16,4
681,464,50,"F",4,"R2","Monday","yes",13,3,"2",0,0,5,13,6,1,0,0,0,0,1,1,0,0,12
242,168,65,"F",3,"R2","Tuesday","yes",7,2,"1",0,0,6,0,1,1,0,0,0,0,1,4,0,0,3
311,206,21,"F",4,"R2","Tuesday","yes",8,2,"1",0,0,3,5,0,2,0,0,0,2,0,3,0,5,0
1072,218,46,"M",3,"R2","Tuesday","yes",4,3,"2",0,2,0,2,0,3,0,2,0,1,0,3,0,0,2
343,224,37,"M",2,"R2","Tuesday","yes",11,3,"2",2,1,7,1,0,5,2,1,2,0,0,5,0,3,3
363,237,52,"F",3,"R2","Tuesday","yes",9,3,"2",0,0,1,6,2,2,0,0,1,1,0,2,0,0,7
375,245,53,"F",4,"R2","Tuesday","no",63,4,"3",0,35,27,21,0,59,0,35,18,6,0,1,0,35,27
412,269,45,"M",4,"R2","Tuesday","yes",6,6,"5",0,2,2,2,0,2,0,2,0,0,0,3,0,1,5
1073,293,48,"F",3,"R2","Tuesday","yes",8,3,"2",0,1,4,3,0,5,0,1,2,2,0,3,0,4,2
454,297,77,"M",4,"R2","Tuesday","no",5,3,"2",0,0,2,2,1,1,0,0,0,0,1,1,0,0,4
500,329,40,"F",3,"R2","Tuesday","yes",11,4,"3",0,4,0,7,0,3,0,2,0,1,0,3,0,0,10
1074,406,11,"M",2,"R2","Tuesday","no",41,3,"2",0,38,0,3,0,9,0,6,0,3,0,4,37,0,0
1075,406,13,"M",2,"R2","Tuesday","no",32,3,"2",0,32,0,0,0,14,0,14,0,0,0,11,31,0,0
602,406,44,"M",4,"R2","Tuesday","yes",7,4,"3",0,2,0,5,0,0,0,0,0,0,0,2,0,5,0
633,430,58,"F",3,"R2","Tuesday","yes",5,2,"1",0,0,3,2,0,3,0,0,2,1,0,0,0,0,5
667,455,14,"F",2,"R2","Tuesday","yes",12,5,"4",0,1,1,9,1,5,0,1,0,3,1,3,0,0,12
668,455,48,"F",3,"R2","Tuesday","no",6,3,"2",0,2,0,3,1,4,0,2,0,2,0,5,0,0,3
711,487,52,"M",4,"R2","Tuesday","yes",17,6,"5",0,0,2,15,0,1,0,0,0,1,0,0,0,5,12
96,92,29,"M",4,"R2","Wednesday","yes",11,2,"1",0,0,5,10,0,1,0,0,1,0,0,1,0,10,0
120,101,51,"F",4,"R2","Wednesday","no",5,2,"1",0,0,2,3,0,3,0,0,2,1,0,3,0,0,2
190,138,78,"M",3,"R2","Wednesday","no",7,5,"4",0,0,0,5,2,2,0,0,0,2,0,2,0,0,5
221,154,63,"M",4,"R2","Wednesday","yes",2,1,"0",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
258,180,38,"M",4,"R2","Wednesday","yes",7,3,"2",1,0,5,4,0,5,1,0,2,2,0,2,0,4,5
1076,219,60,"M",1,"R2","Wednesday","no",1,1,"0",0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1077,333,13,"M",3,"R2","Wednesday","no",36,4,"3",0,21,11,12,0,14,0,11,0,3,0,32,0,0,4
870,333,17,"M",3,"R2","Wednesday","yes",33,3,"2",0,21,9,9,0,14,0,9,2,3,0,2,26,0,5
1078,333,46,"F",2,"R2","Wednesday","yes",15,6,"5",0,2,4,9,0,4,0,2,0,2,0,1,0,9,5
506,333,53,"M",4,"R2","Wednesday","yes",7,3,"2",0,2,1,4,0,3,0,2,0,1,0,3,0,0,4
824,579,56,"F",4,"R2","Wednesday","yes",9,2,"1",0,1,4,2,2,5,0,1,1,1,2,4,0,5,0
1079,582,30,"F",2,"R2","Wednesday","yes",6,3,"2",0,0,4,1,1,0,0,0,0,0,0,1,0,4,6
1080,428,37,"F",1,"R2","Wednesday","no",6,2,"1",0,0,1,4,1,2,0,0,1,1,0,2,0,0,4
832,586,70,"F",3,"R2","Wednesday","no",6,6,"5",0,0,1,2,3,1,0,0,0,0,1,1,0,0,6
101,94,10,"M",3,"R2","Friday","yes",8,4,"3",0,7,0,1,0,8,0,7,0,1,0,3,5,0,2
103,94,48,"M",4,"R2","Friday","yes",3,2,"1",0,2,0,1,0,3,0,2,0,1,0,3,0,0,2
163,123,19,"M",4,"R2","Friday","yes",23,5,"4",0,21,1,1,0,5,0,4,1,0,0,1,21,0,6
165,123,50,"M",2,"R2","Friday","yes",9,5,"4",0,1,1,5,2,1,0,0,0,1,0,3,0,0,8
166,123,51,"F",4,"R2","Friday","yes",11,4,"3",0,1,4,4,2,5,0,0,1,2,2,4,0,4,5
344,225,13,"M",4,"R2","Friday","yes",6,4,"3",0,5,0,1,0,6,0,7,0,1,0,2,4,0,4
345,225,15,"M",3,"R2","Friday","no",5,4,"3",0,4,0,1,0,5,0,4,0,1,0,1,4,0,0
346,225,47,"F",4,"R2","Friday","yes",6,4,"3",0,2,0,4,0,3,0,2,0,1,0,3,0,0,3
430,282,50,"F",4,"R2","Friday","no",14,4,"3",1,0,1,11,1,2,1,0,1,0,0,2,0,3,9
627,424,61,"M",3,"R2","Friday","yes",12,3,"2",0,0,8,12,0,2,0,0,0,2,0,1,0,8,3
125,104,56,"F",2,"R2","Tuesday","no",11,3,"2",0,0,9,10,0,0,0,0,0,0,0,0,0,9,2
126,104,57,"M",4,"R2","Tuesday","yes",4,4,"3",0,0,2,2,0,0,0,0,0,0,0,1,0,3,0
145,112,45,"M",2,"R2","Tuesday","no",25,3,"2",0,6,15,17,2,0,0,0,0,0,0,2,0,23,0
146,112,76,"F",4,"R2","Tuesday","yes",12,4,"3",0,0,3,3,6,0,0,0,0,0,0,2,0,0,10
170,126,74,"F",4,"R2","Tuesday","yes",5,3,"2",0,0,1,3,1,0,0,0,0,0,0,0,0,0,5
183,135,61,"F",4,"R2","Tuesday","yes",2,2,"1",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
803,561,15,"M",2,"R2","Tuesday","yes",62,2,"1",0,60,0,2,0,60,0,60,0,0,0,2,60,0,0
804,561,50,"F",4,"R2","Tuesday","no",2,1,"0",0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
309,205,60,"F",3,"R2","Tuesday","no",12,5,"4",0,0,0,10,2,4,0,0,0,2,2,1,0,6,6
310,205,68,"M",4,"R2","Tuesday","no",3,5,"4",0,0,0,2,1,0,0,0,0,0,0,1,0,0,3
351,229,75,"F",4,"R2","Tuesday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,244,72,"F",4,"R2","Tuesday","yes",7,3,"2",0,1,0,4,2,2,0,0,0,2,0,3,0,0,5
374,244,75,"M",3,"R2","Tuesday","yes",25,9,"6+",0,1,4,14,6,3,0,1,0,2,0,0,0,0,25
403,265,16,"M",4,"R2","Tuesday","no",21,6,"5",0,17,0,2,2,11,0,11,0,0,0,3,17,0,3
405,265,50,"M",4,"R2","Tuesday","yes",28,6,"5",0,17,16,25,18,18,0,2,10,4,2,4,0,19,5
435,285,70,"F",4,"R2","Tuesday","yes",3,3,"2",0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
436,286,42,"F",3,"R2","Tuesday","yes",32,3,"2",0,25,6,4,0,1,0,0,0,1,0,14,0,18,0
437,286,42,"F",2,"R2","Tuesday","yes",6,2,"1",0,1,1,4,0,1,0,0,0,1,0,1,0,5,0
512,336,65,"M",4,"R2","Tuesday","no",13,5,"4",0,0,9,9,9,11,0,0,3,5,3,1,0,0,13
549,362,84,"F",4,"R2","Tuesday","yes",6,1,"0",0,0,0,0,6,0,0,0,0,0,0,0,0,6,0
551,364,65,"F",2,"R2","Tuesday","yes",5,2,"1",1,0,1,2,1,1,1,0,0,0,0,4,0,0,1
552,364,69,"M",2,"R2","Tuesday","yes",1,2,"1",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
130,106,41,"F",4,"R2","Wednesday","yes",15,3,"2",3,3,5,4,0,6,3,2,0,1,0,3,0,13,0
156,118,16,"M",2,"R2","Wednesday","yes",37,2,"1",0,35,0,2,0,20,0,18,0,2,0,37,0,0,0
234,164,16,"F",3,"R2","Wednesday","yes",4,2,"1",0,2,1,1,0,0,0,0,0,0,0,2,2,0,0
236,164,56,"F",4,"R2","Wednesday","yes",5,2,"1",0,1,2,2,0,0,0,0,0,0,0,3,0,0,2
237,165,37,"F",4,"R2","Wednesday","yes",22,3,"2",0,0,21,20,1,1,0,0,0,0,1,22,0,0,0
238,165,68,"F",4,"R2","Wednesday","no",26,6,"5",0,0,17,21,18,17,0,0,2,12,3,7,0,0,19
250,174,54,"M",2,"R2","Wednesday","yes",27,3,"2",0,20,6,5,0,1,0,0,0,1,0,1,0,24,2
287,194,18,"M",4,"R2","Wednesday","no",1,1,"0",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
289,194,54,"F",4,"R2","Wednesday","yes",1,1,"0",0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
332,216,60,"M",4,"R2","Wednesday","no",4,3,"2",0,0,1,3,0,1,0,0,0,1,0,1,0,0,3
353,231,64,"F",4,"R2","Wednesday","yes",1,1,"0",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
358,234,53,"F",4,"R2","Wednesday","yes",14,4,"3",0,0,9,10,0,11,0,0,5,6,0,3,0,0,11
359,234,56,"M",3,"R2","Wednesday","yes",13,5,"4",0,0,4,3,6,3,0,0,0,1,2,6,0,0,7
560,370,73,"F",4,"R2","Wednesday","yes",3,1,"0",0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
109,97,50,"M",4,"R2","Thursday","yes",30,2,"1",0,20,1,9,0,1,0,0,0,1,0,1,0,29,0
116,100,8,"M",3,"R2","Thursday","yes",20,3,"2",3,18,1,0,0,9,2,6,1,0,0,5,15,0,0
117,100,37,"F",4,"R2","Thursday","yes",64,3,"2",50,51,6,9,1,56,31,21,1,3,0,7,4,53,0
118,100,46,"F",4,"R2","Thursday","no",6,7,"6+",1,0,5,0,0,3,1,0,2,0,0,4,0,0,3
132,107,59,"F",3,"R2","Thursday","yes",6,4,"3",0,0,3,2,1,2,0,0,0,1,1,0,0,0,6
133,107,68,"M",3,"R2","Thursday","yes",11,2,"1",0,0,0,11,0,1,0,0,0,1,0,0,0,10,1
246,171,62,"F",4,"R2","Thursday","yes",5,3,"2",0,0,3,2,0,2,0,0,0,2,0,0,0,0,5
265,183,57,"F",4,"R2","Thursday","yes",3,3,"2",0,0,2,1,0,2,0,0,1,1,0,2,0,0,1
277,190,14,"F",4,"R2","Thursday","yes",14,4,"3",0,13,0,1,0,10,0,9,0,1,0,0,14,0,0
281,192,12,"F",3,"R2","Thursday","no",22,3,"2",0,16,2,4,0,5,0,4,0,1,0,6,11,0,5
282,192,41,"M",4,"R2","Thursday","yes",9,2,"1",0,1,7,8,0,9,0,1,4,4,0,2,0,7,0
283,192,42,"F",3,"R2","Thursday","yes",4,1,"0",0,1,0,3,0,2,0,1,0,1,0,4,0,0,0
291,195,69,"F",3,"R2","Thursday","no",7,3,"2",0,0,0,6,1,7,0,0,0,6,1,2,0,0,5
292,195,74,"M",4,"R2","Thursday","no",3,2,"1",0,0,0,2,1,0,0,0,0,0,0,2,0,0,1
333,217,23,"M",4,"R2","Thursday","no",14,4,"3",0,0,11,3,0,8,0,0,5,3,0,0,0,14,0
334,217,58,"F",2,"R2","Thursday","yes",31,3,"2",0,26,1,4,0,0,0,0,0,0,0,2,0,29,0
406,266,38,"M",3,"R2","Thursday","yes",19,5,"4",0,10,16,13,10,8,0,0,6,1,1,1,0,12,6
459,300,47,"F",4,"R2","Thursday","yes",11,4,"3",0,4,10,7,0,4,0,1,3,0,0,1,0,6,10
460,300,52,"M",4,"R2","Thursday","yes",4,4,"3",0,0,0,3,1,3,0,0,0,2,1,1,0,3,0
528,348,32,"F",4,"R2","Thursday","no",1,1,"0",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
553,365,70,"M",4,"R2","Thursday","yes",5,3,"2",0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
561,371,75,"F",4,"R2","Thursday","yes",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,116,54,"F",4,"R2","Friday","yes",7,3,"2",0,0,1,5,1,1,0,0,0,0,1,6,1,0,0
790,554,9,"M",4,"R2","Friday","yes",7,4,"3",0,4,0,2,1,5,0,4,0,1,0,3,4,0,1
791,554,50,"F",4,"R2","Friday","yes",15,8,"6+",0,2,5,10,1,1,0,1,0,0,0,3,0,0,12
318,210,52,"F",3,"R2","Friday","yes",22,5,"4",0,1,19,19,16,4,0,1,3,0,0,6,0,0,16
378,247,51,"F",3,"R2","Friday","yes",19,2,"1",0,1,4,14,0,1,0,1,0,0,0,2,0,17,0
431,283,75,"M",4,"R2","Friday","yes",2,3,"2",0,0,0,0,2,0,0,0,0,0,0,2,0,0,1
485,320,12,"M",2,"R2","Friday","yes",6,3,"2",0,4,0,2,0,1,0,0,0,1,0,2,1,0,3
486,320,50,"F",4,"R2","Friday","yes",7,4,"3",0,1,5,5,0,5,0,1,1,3,0,2,1,0,4
638,435,67,"F",4,"R2","Friday","yes",1,1,"0",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
639,436,64,"F",3,"R2","Friday","yes",2,1,"0",0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
657,448,62,"F",3,"R2","Friday","yes",8,3,"2",1,0,4,2,1,4,1,0,3,0,0,6,0,0,2
